ConvertedCompYearly,YearsCodePro,Country,EdLevel,DevType,Employment,Year
,10,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, back-end;Developer, embedded applications or devices",Employed full-time,2021
,2,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
41597.0,5,Canada,Something else,"Developer, full-stack;Developer, back-end",Employed full-time,2021
,15,South Africa,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",DevOps specialist,Employed full-time,2021
41232.0,16,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data;Developer, back-end",Employed full-time,2021
141144.0,7,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
68105.0,5,Switzerland,Something else,"Student;Developer, embedded applications or devices",Employed part-time,2021
,6,Uganda,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, full-stack",Employed full-time,2021
56304.0,5,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
,,United States of America,Primary/elementary school,,"Student, full-time",2021
32429.0,4,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",Employed full-time,2021
,14,Brazil,Some college/university study without earning a degree,"Developer, full-stack;Educator",Employed full-time,2021
38916.0,8,Slovenia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","Independent contractor, freelancer, or self-employed",2021
,1,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data;Data scientist or machine learning specialist;Student",Employed part-time,2021
91000.0,8,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
2880.0,19,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Product manager,Employed full-time,2021
,5,Slovakia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, back-end;DevOps specialist",Employed full-time,2021
2016.0,Less than 1 year,Indonesia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):;System administrator,Employed full-time,2021
,2,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","Independent contractor, freelancer, or self-employed",2021
129492.0,5,Israel,"Other doctoral degree (Ph.D., Ed.D., etc.)","Data scientist or machine learning specialist;Developer, back-end;Scientist;Developer, QA or test",Employed full-time,2021
,,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end","Independent contractor, freelancer, or self-employed",2021
,23,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Developer, back-end;Academic researcher;Student;Developer, QA or test;Designer","Independent contractor, freelancer, or self-employed",2021
,10,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
,,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,"Student, full-time",2021
,7,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack",Employed full-time,2021
,,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,"Student, full-time",2021
103776.0,22,Austria,Some college/university study without earning a degree,"Developer, full-stack;Engineer, data;Database administrator;System administrator","Independent contractor, freelancer, or self-employed",2021
18156.0,Less than 1 year,Estonia,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,2021
,15,China,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Developer, back-end;Developer, game or graphics;Developer, embedded applications or devices;DevOps specialist",Employed full-time,2021
94539.0,18,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end;DevOps specialist",Employed full-time,2021
58800.0,5,United Arab Emirates,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist;Data or business analyst,Employed full-time,2021
,17,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Employed full-time,2021
,4,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,Employed full-time,2021
48644.0,6,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",Employed full-time,2021
,,Slovenia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,"Student, full-time",2021
,12,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Other (please specify):,Employed full-time,2021
,,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"Student, full-time",2021
157596.0,20,Israel,"Other doctoral degree (Ph.D., Ed.D., etc.)","Data scientist or machine learning specialist;Developer, back-end",Employed full-time,2021
,2,Albania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",Employed full-time,2021
,,Jordan,Some college/university study without earning a degree,,"Student, full-time",2021
,,Indonesia,Primary/elementary school,,"Student, full-time",2021
13164.0,3,Nigeria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Student",Employed full-time,2021
,,India,Primary/elementary school,,"Student, full-time",2021
,12,Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",Employed full-time,2021
,,India,Some college/university study without earning a degree,,"Student, full-time",2021
57324.0,2,Switzerland,Primary/elementary school,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, embedded applications or devices",Employed full-time,2021
84312.0,5,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Designer;Product manager;Marketing or sales professional",Employed full-time,2021
51888.0,3,France,Something else,"Developer, front-end;Developer, full-stack;Developer, back-end","Independent contractor, freelancer, or self-employed",2021
,15,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",Employed full-time,2021
215000.0,25,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;System administrator",Employed full-time,2021
649.0,4,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, back-end;Database administrator","Independent contractor, freelancer, or self-employed",2021
32429.0,3,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
165000.0,17,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;DevOps specialist;Data or business analyst;Designer;Engineering manager;Engineer, site reliability;System administrator;Product manager;Educator;Marketing or sales professional",Employed full-time,2021
18192.0,10,Czech Republic,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Other (please specify):;Developer, back-end",Employed full-time,2021
,37,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Educator,Employed full-time,2021
6228.0,1,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Student",Employed full-time,2021
100000.0,34,United States of America,Some college/university study without earning a degree,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist",Employed full-time,2021
115000.0,25,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
77556.0,8,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Engineering manager",Employed full-time,2021
2304.0,1,Nigeria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",Employed part-time,2021
42372.0,17,Colombia,Some college/university study without earning a degree,"Developer, back-end;Database administrator;System administrator",Employed full-time,2021
600000.0,6,South Korea,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Data or business analyst;Product manager",Employed full-time,2021
